panel,dataset,evaluation_dataset,train_path,train_sha256,test_input_path,test_input_sha256,truth_path,truth_sha256,condition,time_days,status,reason,holdout_group,split_type,train_source_n,train_target_n,external_target_n,information_boundary
gse140802_t2_t16_holdout_A4,GSE140802,GSE140802,data/derived/b3/train/gse140802_t2_t16_holdout_A4.npz,e03abde2f510da914dab69b937ce77dc31e35ffa7b97df78d7ddc726346e0401,data/derived/b3/test_input/gse140802_t2_t16_holdout_A4.npz,1ff05b644fbef990b445e678a5470975b38c76823ebfecbf05bcf4cb148cfa75,data/derived/b3/evaluation_truth/gse140802_t2_t16_holdout_A4.npz,b831a6924f0ed7950058bfefeb841a932a422f7adf7ec1bebc90f2145d256c3c,heldout_animal_A4,16,included,,A4,held_out_animal,37,37,3,training receives non-holdout animals; prediction receives held-out source states; future targets are evaluator-only
gse140802_t2_t16_holdout_A5,GSE140802,GSE140802,data/derived/b3/train/gse140802_t2_t16_holdout_A5.npz,8385c4e2ef518d76f1e88ad5fe432419d9221c5a9a08dc525131e8dfa333e1c4,data/derived/b3/test_input/gse140802_t2_t16_holdout_A5.npz,d21b62f21008265b107d7fab7e7eec38d74970b7f2b321a21dad9824956f428c,data/derived/b3/evaluation_truth/gse140802_t2_t16_holdout_A5.npz,9102e688a1ac36cc100add4784fb1d63c373ff80cb3ee9abe27e6fc3cb56740e,heldout_animal_A5,16,included,,A5,held_out_animal,26,26,14,training receives non-holdout animals; prediction receives held-out source states; future targets are evaluator-only
gse140802_t2_t16_holdout_B4,GSE140802,GSE140802,data/derived/b3/train/gse140802_t2_t16_holdout_B4.npz,abea7c9ad9bbdf79d78e72a22a29e88f6fc4487fcaeec9038a4db95c8429a41e,data/derived/b3/test_input/gse140802_t2_t16_holdout_B4.npz,d4434d96e148c7fe7f52722c8f1d0428014544fd9284bb757611f2d5e139a787,data/derived/b3/evaluation_truth/gse140802_t2_t16_holdout_B4.npz,512b07b090e14aee59eaba87e594e890a83372e280bf27143de6bcefb7e4f411,heldout_animal_B4,16,included,,B4,held_out_animal,34,34,6,training receives non-holdout animals; prediction receives held-out source states; future targets are evaluator-only
gse140802_t2_t16_holdout_B5,GSE140802,GSE140802,data/derived/b3/train/gse140802_t2_t16_holdout_B5.npz,558d7298f9fe272446c7ac97d96ad68cad61088c04a417dadf1025675167f011,data/derived/b3/test_input/gse140802_t2_t16_holdout_B5.npz,14684bf0fdf8bc79eb63e2eab6f52eb295dfef2b30febd0ab06e9936347eca50,data/derived/b3/evaluation_truth/gse140802_t2_t16_holdout_B5.npz,0ddbd3846b9cf7f554818faf31bcdd7dd07f3370882d745a54e7e50db2f6b5f9,heldout_animal_B5,16,included,,B5,held_out_animal,23,23,17,training receives non-holdout animals; prediction receives held-out source states; future targets are evaluator-only
gse140802_t2_t9_holdout_A1,GSE140802,GSE140802,data/derived/b3/train/gse140802_t2_t9_holdout_A1.npz,bfb8720baf05b0e4b041c3dde36e0365b49053a5b9fffd98b5a7e18ac0506c63,data/derived/b3/test_input/gse140802_t2_t9_holdout_A1.npz,0aa5173ce3f28f00c4b8f05ab4ff39a99b48013e9159bd1d6d34147223f7b930,data/derived/b3/evaluation_truth/gse140802_t2_t9_holdout_A1.npz,a2e94508dee1c0c89282ca7cb6c2a789216816a04ca2daabe72163b57307c702,heldout_animal_A1,9,included,,A1,held_out_animal,137,137,15,training receives non-holdout animals; prediction receives held-out source states; future targets are evaluator-only
gse140802_t2_t9_holdout_A2,GSE140802,GSE140802,data/derived/b3/train/gse140802_t2_t9_holdout_A2.npz,49d516fdba9fef1ec8ee8b1b8035674004b737ccea6a0780f53871272747676a,data/derived/b3/test_input/gse140802_t2_t9_holdout_A2.npz,89cdfc56d393b3b1e04e4fd23ced90f8c6635e74cfd4163f7fee0af61afad3a6,data/derived/b3/evaluation_truth/gse140802_t2_t9_holdout_A2.npz,d72b328037a48a90072591526f83a6fc0421239fb091b6f17cd0269d5bb4f911,heldout_animal_A2,9,included,,A2,held_out_animal,97,97,55,training receives non-holdout animals; prediction receives held-out source states; future targets are evaluator-only
gse140802_t2_t9_holdout_A3,GSE140802,GSE140802,data/derived/b3/train/gse140802_t2_t9_holdout_A3.npz,900552f198b42d26cbde1ee1c063d9fa0df24fdc29ef51fdba93aed48c1e9eb6,data/derived/b3/test_input/gse140802_t2_t9_holdout_A3.npz,b84ef336f160c3a8aa171a644db082c5dc6cea75d33e43dcf4e037d6aeb36cb6,data/derived/b3/evaluation_truth/gse140802_t2_t9_holdout_A3.npz,56053c71225175d6845eec9eed6dbba3ecca48ee88950de981b54bd64e47ed9f,heldout_animal_A3,9,included,,A3,held_out_animal,135,135,17,training receives non-holdout animals; prediction receives held-out source states; future targets are evaluator-only
gse140802_t2_t9_holdout_B1,GSE140802,GSE140802,data/derived/b3/train/gse140802_t2_t9_holdout_B1.npz,3cc07b8b983b2a7db7055961837986365d0ae8d2a160da3f8edb5a56676f011d,data/derived/b3/test_input/gse140802_t2_t9_holdout_B1.npz,427695a800995f84143ce6c661e22755408368c82b1451cab28318ba708a429b,data/derived/b3/evaluation_truth/gse140802_t2_t9_holdout_B1.npz,ce71a2f25a0844c04faeab31a0cdab41d66d6a0abf261353709bc20caaa5f09e,heldout_animal_B1,9,included,,B1,held_out_animal,128,128,24,training receives non-holdout animals; prediction receives held-out source states; future targets are evaluator-only
gse140802_t2_t9_holdout_B2,GSE140802,GSE140802,data/derived/b3/train/gse140802_t2_t9_holdout_B2.npz,82231127f2f700c13b7baab64242f7dc2d0d490d8daec6eb0eb58555fb0fe682,data/derived/b3/test_input/gse140802_t2_t9_holdout_B2.npz,2eb7170ab0184a226345d6eeb54e2ff153b5851344802a777d76fe51579fb4c1,data/derived/b3/evaluation_truth/gse140802_t2_t9_holdout_B2.npz,1b1344f54fffab45539af20f668be93fa40d76d26c38d7d77d0727964343aef5,heldout_animal_B2,9,included,,B2,held_out_animal,132,132,20,training receives non-holdout animals; prediction receives held-out source states; future targets are evaluator-only
gse140802_t2_t9_holdout_B3,GSE140802,GSE140802,data/derived/b3/train/gse140802_t2_t9_holdout_B3.npz,dc5848f6494fcbde68feef160d6cebf0703224e9b015f4bea6daf7388096fe9b,data/derived/b3/test_input/gse140802_t2_t9_holdout_B3.npz,313c8a18317c2b8a69c0d57e0830be27b46561c2ffadc76289e8995b0dbbd0d2,data/derived/b3/evaluation_truth/gse140802_t2_t9_holdout_B3.npz,83ea5dcc3079bdc7f0c21bb5409c25845d26409fe1995235a240d46cd38e0cad,heldout_animal_B3,9,included,,B3,held_out_animal,131,131,21,training receives non-holdout animals; prediction receives held-out source states; future targets are evaluator-only
gse239651_dmso_day3,,,data/derived/b3/train/gse239651_dmso_day3.npz,8bf77925ba911c64b6df96fa55eb879fa62aecef1ac883b07e38e1673e45f877,data/derived/b3/test_input/gse239651_dmso_day3.npz,964f143d07f92a7d9f360f4406cca45045d04071106c081df35e264b3071af52,data/derived/b3/evaluation_truth/gse239651_dmso_day3.npz,b5b6fccbbfe93f41f55a43f98948c8eb203b9e75190b5b2b6cd083a7b42d8ba4,DMSO,3,included,,,,905,129,189,method process receives the train_path only; truth_path is opened only by the evaluator
gse239651_dmso_day6,,,data/derived/b3/train/gse239651_dmso_day6.npz,e5f9144168152502b646d7707640e1037f2d8a4af4d8398941fb091ef8f95f01,data/derived/b3/test_input/gse239651_dmso_day6.npz,6bc092617300aa74b0a9d5cebc3d3801ef1f38c3ce65c2967f5010deb264d9cd,data/derived/b3/evaluation_truth/gse239651_dmso_day6.npz,2b9fde8b22dfec054654d6277b8eae85a9c24c26a19b54c8d9a0ac6fe2a29ba8,DMSO,6,included,,,,905,128,182,method process receives the train_path only; truth_path is opened only by the evaluator
