dataset,lineage_id,window,source_time,target_time,source_n,target_n,target_detected,sample_source,source_state_0,source_state_1,source_state_2,source_state_3,source_state_4,source_state_5,target_state_0,target_state_1,target_state_2,target_state_3,target_state_4,target_state_5,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
GSE239651,CellTag_0,ispi_d6,day0,ispi_d6,9,2,1,ispi_d6,0,4,0,1,4,0,0,0,0,0,2,0,0.0,0.4444444444444444,0.0,0.1111111111111111,0.4444444444444444,0.0,1.0,0.0,0.0,0.0,2.302585092994046
GSE239651,CellTag_31,ispi_d6,day0,ispi_d6,6,7,1,ispi_d6,0,5,0,0,1,0,0,1,1,0,5,0,0.0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,1.9459101490553132
GSE239651,CellTag_39,ispi_d6,day0,ispi_d6,10,26,1,ispi_d6,2,4,0,0,4,0,5,4,3,0,11,3,0.2,0.4,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,2.3978952727983707
GSE239651,CellTag_42,ispi_d6,day0,ispi_d6,1,2,1,ispi_d6,0,1,0,0,0,0,0,0,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453
GSE239651,CellTag_43,ispi_d6,day0,ispi_d6,2,2,1,ispi_d6,0,2,0,0,0,0,0,0,1,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0986122886681098
GSE239651,CellTag_47,ispi_d6,day0,ispi_d6,1,3,1,ispi_d6,1,0,0,0,0,0,1,0,0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453
GSE239651,CellTag_50,ispi_d6,day0,ispi_d6,3,1,1,ispi_d6,1,2,0,0,0,0,1,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3862943611198906
GSE239651,CellTag_54,ispi_d6,day0,ispi_d6,6,1,1,ispi_d6,0,4,0,0,2,0,0,0,1,0,0,0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.9459101490553132
GSE239651,CellTag_61,ispi_d6,day0,ispi_d6,3,1,1,ispi_d6,1,1,0,0,1,0,0,0,1,0,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.3862943611198906
GSE239651,CellTag_82,ispi_d6,day0,ispi_d6,1,8,1,ispi_d6,0,1,0,0,0,0,1,2,1,1,3,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453
GSE239651,CellTag_84,ispi_d6,day0,ispi_d6,1,5,1,ispi_d6,0,0,0,0,1,0,1,1,0,1,2,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453
GSE239651,CellTag_87,ispi_d6,day0,ispi_d6,11,5,1,ispi_d6,0,6,0,0,5,0,2,1,2,0,0,0,0.0,0.5454545454545454,0.0,0.0,0.45454545454545453,0.0,1.0,0.0,0.0,0.0,2.4849066497880004
GSE239651,CellTag_91,ispi_d6,day0,ispi_d6,5,7,1,ispi_d6,1,3,0,0,1,0,0,1,1,1,4,0,0.2,0.6,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,1.791759469228055
GSE239651,CellTag_92,ispi_d6,day0,ispi_d6,5,13,1,ispi_d6,0,3,0,0,2,0,2,2,1,2,6,0,0.0,0.6,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,1.791759469228055
GSE239651,CellTag_99,ispi_d6,day0,ispi_d6,17,17,1,ispi_d6,2,12,0,0,3,0,6,3,1,1,5,1,0.11764705882352941,0.7058823529411765,0.0,0.0,0.17647058823529413,0.0,1.0,0.0,0.0,0.0,2.8903717578961645
GSE239651,CellTag_105,ispi_d6,day0,ispi_d6,2,5,1,ispi_d6,1,1,0,0,0,0,0,0,0,2,3,0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0986122886681098
GSE239651,CellTag_111,ispi_d6,day0,ispi_d6,5,5,1,ispi_d6,0,2,0,0,3,0,1,1,0,0,3,0,0.0,0.4,0.0,0.0,0.6,0.0,1.0,0.0,0.0,0.0,1.791759469228055
GSE239651,CellTag_114,ispi_d6,day0,ispi_d6,8,5,1,ispi_d6,0,6,0,0,2,0,0,1,0,0,4,0,0.0,0.75,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,2.1972245773362196
GSE239651,CellTag_152,ispi_d6,day0,ispi_d6,2,6,1,ispi_d6,0,2,0,0,0,0,4,0,0,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0986122886681098
GSE239651,CellTag_153,ispi_d6,day0,ispi_d6,4,4,1,ispi_d6,0,3,0,0,1,0,0,0,1,0,3,0,0.0,0.75,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,1.6094379124341003
GSE239651,CellTag_168,ispi_d6,day0,ispi_d6,4,2,1,ispi_d6,0,2,0,0,2,0,0,1,0,0,1,0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.6094379124341003
GSE239651,CellTag_173,ispi_d6,day0,ispi_d6,1,3,1,ispi_d6,1,0,0,0,0,0,0,1,0,0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453
GSE239651,CellTag_174,ispi_d6,day0,ispi_d6,8,10,1,ispi_d6,1,4,0,0,3,0,4,1,1,0,4,0,0.125,0.5,0.0,0.0,0.375,0.0,1.0,0.0,0.0,0.0,2.1972245773362196
GSE239651,CellTag_189,ispi_d6,day0,ispi_d6,2,3,1,ispi_d6,0,1,0,0,1,0,1,1,0,0,1,0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0986122886681098
GSE239651,CellTag_190,ispi_d6,day0,ispi_d6,1,1,1,ispi_d6,0,1,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453
GSE239651,CellTag_194,ispi_d6,day0,ispi_d6,2,2,1,ispi_d6,0,0,0,0,2,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0986122886681098
GSE239651,CellTag_203,ispi_d6,day0,ispi_d6,7,1,1,ispi_d6,0,5,0,0,1,1,0,0,1,0,0,0,0.0,0.7142857142857143,0.0,0.0,0.14285714285714285,0.14285714285714285,1.0,0.0,0.0,0.0,2.0794415416798357
GSE239651,CellTag_227,ispi_d6,day0,ispi_d6,10,5,1,ispi_d6,0,4,0,0,6,0,2,0,0,1,2,0,0.0,0.4,0.0,0.0,0.6,0.0,1.0,0.0,0.0,0.0,2.3978952727983707
GSE239651,CellTag_241,ispi_d6,day0,ispi_d6,2,5,1,ispi_d6,1,0,0,0,1,0,1,3,0,0,1,0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0986122886681098
GSE239651,CellTag_257,ispi_d6,day0,ispi_d6,3,14,1,ispi_d6,0,3,0,0,0,0,2,2,2,2,6,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3862943611198906
GSE239651,CellTag_306,ispi_d6,day0,ispi_d6,15,9,1,ispi_d6,0,12,0,0,3,0,3,0,0,0,4,2,0.0,0.8,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,2.772588722239781
GSE239651,CellTag_317,ispi_d6,day0,ispi_d6,2,1,1,ispi_d6,0,1,0,0,1,0,0,0,0,0,1,0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0986122886681098
GSE239651,CellTag_332,ispi_d6,day0,ispi_d6,2,3,1,ispi_d6,0,2,0,0,0,0,0,0,0,0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0986122886681098
GSE239651,CellTag_354,ispi_d6,day0,ispi_d6,7,1,1,ispi_d6,0,1,0,0,0,6,0,0,0,0,0,1,0.0,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571,1.0,0.0,0.0,0.0,2.0794415416798357
GSE239651,CellTag_372,ispi_d6,day0,ispi_d6,2,3,1,ispi_d6,0,1,0,0,1,0,0,1,0,0,2,0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0986122886681098
GSE239651,CellTag_425,ispi_d6,day0,ispi_d6,2,4,1,ispi_d6,0,2,0,0,0,0,0,1,0,0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0986122886681098
GSE239651,CellTag_478,ispi_d6,day0,ispi_d6,10,1,1,ispi_d6,1,3,0,0,6,0,0,1,0,0,0,0,0.1,0.3,0.0,0.0,0.6,0.0,1.0,0.0,0.0,0.0,2.3978952727983707
GSE239651,CellTag_495,ispi_d6,day0,ispi_d6,1,1,1,ispi_d6,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453
GSE239651,CellTag_504,ispi_d6,day0,ispi_d6,2,3,1,ispi_d6,0,2,0,0,0,0,0,0,0,1,2,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0986122886681098
GSE239651,CellTag_507,ispi_d6,day0,ispi_d6,1,1,1,ispi_d6,0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453
GSE239651,CellTag_563,ispi_d6,day0,ispi_d6,3,2,1,ispi_d6,1,1,0,0,1,0,1,1,0,0,0,0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,1.3862943611198906
GSE239651,CellTag_583,ispi_d6,day0,ispi_d6,2,3,1,ispi_d6,1,0,0,0,1,0,0,0,0,0,3,0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0986122886681098
