dataset,lineage_id,window,source_time,target_time,source_n,target_n,target_detected,sample_source,source_state_0,source_state_1,source_state_2,source_state_3,target_state_0,target_state_1,target_state_2,target_state_3,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6
GSE173958_macsgestalt,M1_clone_1,M1_PT_to_meta,PrimaryTumor,Metastasis,1231,6445,1,M1,54,1144,29,4,73,6242,129,1,0.043866774979691305,0.9293257514216084,0.023558082859463852,0.003249390739236393,1.0,0.0,7.116394144093465
GSE173958_macsgestalt,M1_clone_2,M1_PT_to_meta,PrimaryTumor,Metastasis,659,509,1,M1,6,11,12,630,1,5,39,464,0.009104704097116844,0.01669195751138088,0.018209408194233688,0.9559939301972686,1.0,0.0,6.492239835020471
GSE173958_macsgestalt,M1_clone_3,M1_PT_to_meta,PrimaryTumor,Metastasis,525,301,1,M1,57,16,449,3,18,7,276,0,0.10857142857142857,0.030476190476190476,0.8552380952380952,0.005714285714285714,1.0,0.0,6.26530121273771
GSE173958_macsgestalt,M1_clone_4,M1_PT_to_meta,PrimaryTumor,Metastasis,186,5,1,M1,19,1,147,19,0,0,5,0,0.10215053763440861,0.005376344086021506,0.7903225806451613,0.10215053763440861,1.0,0.0,5.231108616854587
GSE173958_macsgestalt,M1_clone_5,M1_PT_to_meta,PrimaryTumor,Metastasis,90,164,1,M1,8,25,54,3,2,9,152,1,0.08888888888888889,0.2777777777777778,0.6,0.03333333333333333,1.0,0.0,4.51085950651685
GSE173958_macsgestalt,M1_clone_9,M1_PT_to_meta,PrimaryTumor,Metastasis,20,1,1,M1,6,0,14,0,0,0,0,1,0.3,0.0,0.7,0.0,1.0,0.0,3.044522437723423
GSE173958_macsgestalt,M1_clone_10,M1_PT_to_meta,PrimaryTumor,Metastasis,21,34,1,M1,2,0,19,0,2,0,32,0,0.09523809523809523,0.0,0.9047619047619048,0.0,1.0,0.0,3.091042453358316
GSE173958_macsgestalt,M1_clone_11,M1_PT_to_meta,PrimaryTumor,Metastasis,19,40,1,M1,3,2,14,0,2,0,38,0,0.15789473684210525,0.10526315789473684,0.7368421052631579,0.0,1.0,0.0,2.995732273553991
GSE173958_macsgestalt,M1_clone_12,M1_PT_to_meta,PrimaryTumor,Metastasis,17,4,1,M1,6,4,4,3,1,0,1,2,0.35294117647058826,0.23529411764705882,0.23529411764705882,0.17647058823529413,1.0,0.0,2.8903717578961645
GSE173958_macsgestalt,M1_clone_20,M1_PT_to_meta,PrimaryTumor,Metastasis,8,1,1,M1,0,0,8,0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,2.1972245773362196
GSE173958_macsgestalt,M1_clone_22,M1_PT_to_meta,PrimaryTumor,Metastasis,5,48,1,M1,1,0,4,0,2,0,46,0,0.2,0.0,0.8,0.0,1.0,0.0,1.791759469228055
GSE173958_macsgestalt,M1_clone_23,M1_PT_to_meta,PrimaryTumor,Metastasis,6,1,1,M1,0,1,5,0,0,0,1,0,0.0,0.16666666666666666,0.8333333333333334,0.0,1.0,0.0,1.9459101490553132
GSE173958_macsgestalt,M1_clone_28,M1_PT_to_meta,PrimaryTumor,Metastasis,4,1,1,M1,0,2,1,1,0,0,1,0,0.0,0.5,0.25,0.25,1.0,0.0,1.6094379124341003
GSE173958_macsgestalt,M2_clone_1,M2_PT_to_meta,PrimaryTumor,Metastasis,406,200,1,M2,64,3,339,0,55,0,145,0,0.15763546798029557,0.007389162561576354,0.8349753694581281,0.0,0.0,1.0,6.008813185442595
GSE173958_macsgestalt,M2_clone_2,M2_PT_to_meta,PrimaryTumor,Metastasis,219,10771,1,M2,199,7,13,0,10548,91,132,0,0.908675799086758,0.0319634703196347,0.0593607305936073,0.0,0.0,1.0,5.393627546352362
GSE173958_macsgestalt,M2_clone_3,M2_PT_to_meta,PrimaryTumor,Metastasis,132,17,1,M2,11,9,112,0,1,1,15,0,0.08333333333333333,0.06818181818181818,0.8484848484848485,0.0,0.0,1.0,4.890349128221754
GSE173958_macsgestalt,M2_clone_4,M2_PT_to_meta,PrimaryTumor,Metastasis,90,16,1,M2,17,4,69,0,5,0,11,0,0.18888888888888888,0.044444444444444446,0.7666666666666667,0.0,0.0,1.0,4.51085950651685
GSE173958_macsgestalt,M2_clone_5,M2_PT_to_meta,PrimaryTumor,Metastasis,84,54,1,M2,5,2,77,0,12,3,39,0,0.05952380952380952,0.023809523809523808,0.9166666666666666,0.0,0.0,1.0,4.442651256490317
GSE173958_macsgestalt,M2_clone_6,M2_PT_to_meta,PrimaryTumor,Metastasis,81,3,1,M2,13,10,58,0,1,0,2,0,0.16049382716049382,0.12345679012345678,0.7160493827160493,0.0,0.0,1.0,4.406719247264253
GSE173958_macsgestalt,M2_clone_7,M2_PT_to_meta,PrimaryTumor,Metastasis,77,12,1,M2,41,14,22,0,9,1,2,0,0.5324675324675324,0.18181818181818182,0.2857142857142857,0.0,0.0,1.0,4.356708826689592
GSE173958_macsgestalt,M2_clone_8,M2_PT_to_meta,PrimaryTumor,Metastasis,67,19,1,M2,5,4,55,3,1,2,16,0,0.07462686567164178,0.05970149253731343,0.8208955223880597,0.04477611940298507,0.0,1.0,4.219507705176107
GSE173958_macsgestalt,M2_clone_9,M2_PT_to_meta,PrimaryTumor,Metastasis,60,3,1,M2,6,4,50,0,1,0,2,0,0.1,0.06666666666666667,0.8333333333333334,0.0,0.0,1.0,4.110873864173311
GSE173958_macsgestalt,M2_clone_12,M2_PT_to_meta,PrimaryTumor,Metastasis,41,2,1,M2,6,2,13,20,1,0,0,1,0.14634146341463414,0.04878048780487805,0.3170731707317073,0.4878048780487805,0.0,1.0,3.7376696182833684
GSE173958_macsgestalt,M2_clone_14,M2_PT_to_meta,PrimaryTumor,Metastasis,44,1,1,M2,21,18,5,0,0,0,0,1,0.4772727272727273,0.4090909090909091,0.11363636363636363,0.0,0.0,1.0,3.8066624897703196
GSE173958_macsgestalt,M2_clone_15,M2_PT_to_meta,PrimaryTumor,Metastasis,43,1,1,M2,5,3,15,20,0,0,1,0,0.11627906976744186,0.06976744186046512,0.3488372093023256,0.46511627906976744,0.0,1.0,3.784189633918261
GSE173958_macsgestalt,M2_clone_18,M2_PT_to_meta,PrimaryTumor,Metastasis,34,1,1,M2,12,1,21,0,0,0,1,0,0.35294117647058826,0.029411764705882353,0.6176470588235294,0.0,0.0,1.0,3.5553480614894135
