sample_accession	title	cell_type	cell_line	treatment	time	replicate	description_(phenotype)	treatment_raw	condition	time_days	sample_id	matrix_column	EPI	INV_EMT	INF_EMT	IFN_HLA	PROLIF	DORM_STRESS
GSM5012089	AL2646_d0_N1	Madin-Darby Canine Kidney (MDCK) cells	MDCK-II	Untreated	0 days	1	epithelial	Untreated	Untreated	0.0	GSM5012089	AL2646	5.085818296351585	3.7175194096004627	2.804743652668703	3.1107642257685812	4.786734845249091	4.155618890306066
GSM5012090	AL2647_d4_UN_N1	Madin-Darby Canine Kidney (MDCK) cells	MDCK-II	Untreated	4 days	1	epithelial	Untreated	Untreated	4.0	GSM5012090	AL2647	5.349452701356567	3.424420035239196	2.317813416901905	4.210113105512287	4.108763288668634	4.881599430341199
GSM5012091	AL2648_d4_TGFb_N1	Madin-Darby Canine Kidney (MDCK) cells	MDCK-II	TGFb (5mg/ml)	4 days	1	partial EMT	TGFb (5mg/ml)	TGFb	4.0	GSM5012091	AL2648	5.352988576004045	4.159838582971574	2.6532848090320704	3.999687390796882	3.8833524284462677	4.4776894338209665
GSM5012092	AL2670_d0_N2	Madin-Darby Canine Kidney (MDCK) cells	MDCK-II	Untreated	0 days	2	epithelial	Untreated	Untreated	0.0	GSM5012092	AL2670	5.100328713767856	3.6148784281325836	2.893031992386924	2.9624285014303013	4.719635217036732	4.1811561524838625
GSM5012093	AL2671_d4_UN_N2	Madin-Darby Canine Kidney (MDCK) cells	MDCK-II	Untreated	4 days	2	epithelial	Untreated	Untreated	4.0	GSM5012093	AL2671	5.215053749578619	3.6332665862341695	2.9674326696068483	3.677458554522935	4.649433197446568	4.476095625586388
GSM5012094	AL2672_d4_TGFb_N2	Madin-Darby Canine Kidney (MDCK) cells	MDCK-II	TGFb (5mg/ml)	4 days	2	partial EMT	TGFb (5mg/ml)	TGFb	4.0	GSM5012094	AL2672	5.136298140261394	4.441536497703238	3.1271102195151865	4.0427989933447215	3.8230600749807393	4.341422719756669
GSM5012095	AL2678_d0_N3	Madin-Darby Canine Kidney (MDCK) cells	MDCK-II	Untreated	0 days	3	epithelial	Untreated	Untreated	0.0	GSM5012095	AL2678	5.108272638535021	3.683638454106369	2.746344995732978	2.9789732626981036	4.8571988146319205	4.117450419558777
GSM5012096	AL2679_d4_UN_N3	Madin-Darby Canine Kidney (MDCK) cells	MDCK-II	Untreated	4 days	3	epithelial	Untreated	Untreated	4.0	GSM5012096	AL2679	5.141651042156733	3.5872161935346027	2.8701701187460382	3.7687067272159913	4.588957996885545	4.428634076066067
GSM5012097	AL2680_d4_TGFB_N3	Madin-Darby Canine Kidney (MDCK) cells	MDCK-II	TGFb (5mg/ml)	4 days	3	partial EMT	TGFb (5mg/ml)	TGFb	4.0	GSM5012097	AL2680	5.0427692238464585	4.2914602706224905	2.761973711115132	3.652617428740317	3.983622353769421	4.27571036817238
GSM5012098	AL2649_d0_UN_N1	Madin-Darby Canine Kidney (MDCK) cells	MDCK-NBL2	Untreated	0 days	1	epithelial	Untreated	Untreated	0.0	GSM5012098	AL2649	5.0964717558352515	4.613763142796289	2.75618514499418	2.1899199768663085	4.784782102361561	4.205230370799471
