dataset	species	cell_line	contrast	condition_a	condition_b	branch	mean_difference_a_minus_b	paired_t	paired_p	n_pairs	unit	causal_status
GSE164488	dog	MDCK-II	TGFb_minus_d4_untreated	TGFb	Untreated	EPI	-0.05803385099334039	-1.8524410408932512	0.2051540042662388	3	biological_replicate	controlled_perturbation_association
GSE164488	dog	MDCK-II	TGFb_minus_d4_untreated	TGFb	Untreated	INV_EMT	0.749310845429778	24.31046803766156	0.0016877681741669307	3	biological_replicate	controlled_perturbation_association
GSE164488	dog	MDCK-II	TGFb_minus_d4_untreated	TGFb	Untreated	INF_EMT	0.12898417813586574	0.9999390286272476	0.4226731994181331	3	biological_replicate	controlled_perturbation_association
GSE164488	dog	MDCK-II	TGFb_minus_d4_untreated	TGFb	Untreated	IFN_HLA	0.012941808543569225	0.07258797036011767	0.9487400318775018	3	biological_replicate	controlled_perturbation_association
GSE164488	dog	MDCK-II	TGFb_minus_d4_untreated	TGFb	Untreated	PROLIF	-0.5523732086014396	-3.1475632315395212	0.08784115711713864	3	biological_replicate	controlled_perturbation_association
GSE164488	dog	MDCK-II	TGFb_minus_d4_untreated	TGFb	Untreated	DORM_STRESS	-0.23050220341454608	-2.6536042495044874	0.11750320574444537	3	biological_replicate	controlled_perturbation_association
GSE164488	dog	MDCK-NBL2	TGFb_minus_d4_untreated	TGFb	Untreated	EPI	-0.60335905587627	-4.301512832886541	0.05002454783882524	3	biological_replicate	controlled_perturbation_association
GSE164488	dog	MDCK-NBL2	TGFb_minus_d4_untreated	TGFb	Untreated	INV_EMT	1.2804116581871932	3.0216976245901463	0.09428697710265051	3	biological_replicate	controlled_perturbation_association
GSE164488	dog	MDCK-NBL2	TGFb_minus_d4_untreated	TGFb	Untreated	INF_EMT	-0.15094779077635087	-0.6117206212703656	0.6029965536524752	3	biological_replicate	controlled_perturbation_association
GSE164488	dog	MDCK-NBL2	TGFb_minus_d4_untreated	TGFb	Untreated	IFN_HLA	-0.29373193174687556	-1.563774798398535	0.2583155110816221	3	biological_replicate	controlled_perturbation_association
GSE164488	dog	MDCK-NBL2	TGFb_minus_d4_untreated	TGFb	Untreated	PROLIF	-1.3989674030057355	-3.450950065188505	0.07468448998063226	3	biological_replicate	controlled_perturbation_association
GSE164488	dog	MDCK-NBL2	TGFb_minus_d4_untreated	TGFb	Untreated	DORM_STRESS	-0.26563896899212464	-2.4346435780011784	0.13529582160672984	3	biological_replicate	controlled_perturbation_association
GSE164488	dog	MDCK-NBL2	siPRRX1_minus_siCTR	TGFb_siPRRX1	TGFb_siCTR	EPI	0.323385758683792	6.85454616286971	0.020627236067686107	3	biological_replicate	controlled_perturbation_association
GSE164488	dog	MDCK-NBL2	siPRRX1_minus_siCTR	TGFb_siPRRX1	TGFb_siCTR	INV_EMT	-0.48910680463805356	-7.807867522976001	0.016010564330224998	3	biological_replicate	controlled_perturbation_association
GSE164488	dog	MDCK-NBL2	siPRRX1_minus_siCTR	TGFb_siPRRX1	TGFb_siCTR	INF_EMT	0.009242430947539257	0.15155476897583278	0.8934447114843471	3	biological_replicate	controlled_perturbation_association
GSE164488	dog	MDCK-NBL2	siPRRX1_minus_siCTR	TGFb_siPRRX1	TGFb_siCTR	IFN_HLA	0.9460313058751106	2.9645319861402872	0.0974388908502281	3	biological_replicate	controlled_perturbation_association
GSE164488	dog	MDCK-NBL2	siPRRX1_minus_siCTR	TGFb_siPRRX1	TGFb_siCTR	PROLIF	-0.32379887176139244	-1.921766617861274	0.1945790476700613	3	biological_replicate	controlled_perturbation_association
GSE164488	dog	MDCK-NBL2	siPRRX1_minus_siCTR	TGFb_siPRRX1	TGFb_siCTR	DORM_STRESS	0.09320625219161165	1.6938187325357161	0.23238037806350667	3	biological_replicate	controlled_perturbation_association
