condition,state,observed,predicted,n_windows,n_cases
DMSO,0,0.2862609939051905,0.33659202722899156,28,3804
DMSO,1,0.0,0.003200566614197212,28,3804
DMSO,2,0.05463202007659819,0.06113166485521563,28,3804
DMSO,3,0.5770482066815106,0.5198589769138107,28,3804
DMSO,4,0.08205877933670076,0.07623793569092834,28,3804
DMSO,5,0.0,0.0029788286968565362,28,3804
ispinesib,0,0.11316368655946127,0.11101385243098215,28,3463
ispinesib,1,0.0,0.0027705135917084956,28,3463
ispinesib,2,0.024603971747571268,0.0200536421136456,28,3463
ispinesib,3,0.785106519544005,0.7746390343467873,28,3463
ispinesib,4,0.0771258221489625,0.08874861682684199,28,3463
ispinesib,5,0.0,0.0027743406900345496,28,3463
