"time","state","n","fraction"
"D0","0",677,0.691521961184883
"D3","0",3,0.00946372239747634
"D6","0",24,0.0269966254218223
"D9","0",14,0.0136852394916911
"D0","1",0,0
"D3","1",2,0.00630914826498423
"D6","1",5,0.00562429696287964
"D9","1",7,0.00684261974584555
"D0","2",5,0.00510725229826353
"D3","2",1,0.00315457413249211
"D6","2",0,0
"D9","2",0,0
"D0","3",51,0.052093973442288
"D3","3",113,0.356466876971609
"D6","3",96,0.107986501687289
"D9","3",55,0.0537634408602151
"D0","4",3,0.00306435137895812
"D3","4",2,0.00630914826498423
"D6","4",4,0.00449943757030371
"D9","4",11,0.010752688172043
"D0","5",14,0.0143003064351379
"D3","5",115,0.362776025236593
"D6","5",311,0.349831271091114
"D9","5",43,0.0420332355816227
"D0","6",187,0.191011235955056
"D3","6",4,0.0126182965299685
"D6","6",1,0.00112485939257593
"D9","6",0,0
"D0","7",2,0.00204290091930541
"D3","7",3,0.00946372239747634
"D6","7",0,0
"D9","7",4,0.00391006842619746
"D0","8",25,0.0255362614913177
"D3","8",66,0.20820189274448
"D6","8",429,0.482564679415073
"D9","8",877,0.857282502443793
"D0","9",15,0.0153217568947906
"D3","9",8,0.0252365930599369
"D6","9",19,0.0213723284589426
"D9","9",12,0.0117302052785924
