condition,window,state,observed,predicted,n_cases
DMSO,DMSO_d21 -> DMSO_d139,0,0.3596260001397845,0.2611422578558763,121
DMSO,DMSO_d21 -> DMSO_d139,1,0.0,0.003381241411994557,121
DMSO,DMSO_d21 -> DMSO_d139,2,0.17967307288526774,0.07350947986904871,121
DMSO,DMSO_d21 -> DMSO_d139,3,0.36809074569398764,0.5571558102930079,121
DMSO,DMSO_d21 -> DMSO_d139,4,0.09261018128096009,0.10167532835645234,121
DMSO,DMSO_d21 -> DMSO_d139,5,0.0,0.0031358822136200557,121
DMSO,DMSO_d21 -> DMSO_d42,0,0.40058479532163743,0.24739654282834903,57
DMSO,DMSO_d21 -> DMSO_d42,1,0.0,0.0033937179088493917,57
DMSO,DMSO_d21 -> DMSO_d42,2,0.017543859649122806,0.07455413074281503,57
DMSO,DMSO_d21 -> DMSO_d42,3,0.5116959064327485,0.5764365314376684,57
DMSO,DMSO_d21 -> DMSO_d42,4,0.07017543859649122,0.09507382845335845,57
DMSO,DMSO_d21 -> DMSO_d42,5,0.0,0.003145248628959752,57
DMSO,DMSO_d21 -> DMSO_d69,0,0.13905962652958098,0.2703999076090889,176
DMSO,DMSO_d21 -> DMSO_d69,1,0.0,0.0035098871692903367,176
DMSO,DMSO_d21 -> DMSO_d69,2,0.007954545454545454,0.08195890778900643,176
DMSO,DMSO_d21 -> DMSO_d69,3,0.7948852237414324,0.5339749836813124,176
DMSO,DMSO_d21 -> DMSO_d69,4,0.05810060427444108,0.10691079446142432,176
DMSO,DMSO_d21 -> DMSO_d69,5,0.0,0.0032455192898777335,176
DMSO,DMSO_d21 -> DMSO_d98,0,0.3254203180120334,0.25997658005740515,152
DMSO,DMSO_d21 -> DMSO_d98,1,0.0,0.0034904699556438773,152
DMSO,DMSO_d21 -> DMSO_d98,2,0.010307017543859648,0.07947725276950057,152
DMSO,DMSO_d21 -> DMSO_d98,3,0.5830138366808214,0.5508807244091561,152
DMSO,DMSO_d21 -> DMSO_d98,4,0.08125882776328552,0.10294684032785069,152
DMSO,DMSO_d21 -> DMSO_d98,5,0.0,0.003228132480443615,152
DMSO,DMSO_d3 -> DMSO_d139,0,0.3596260001397845,0.37138462147441226,121
DMSO,DMSO_d3 -> DMSO_d139,1,0.0,0.0030733773730379802,121
DMSO,DMSO_d3 -> DMSO_d139,2,0.17967307288526774,0.052538539666745133,121
DMSO,DMSO_d3 -> DMSO_d139,3,0.36809074569398764,0.5049002376876194,121
DMSO,DMSO_d3 -> DMSO_d139,4,0.09261018128096009,0.06523375893431653,121
DMSO,DMSO_d3 -> DMSO_d139,5,0.0,0.0028694648638687382,121
DMSO,DMSO_d3 -> DMSO_d21,0,0.11298363095238095,0.37336899500953535,128
DMSO,DMSO_d3 -> DMSO_d21,1,0.0,0.003063420537136067,128
DMSO,DMSO_d3 -> DMSO_d21,2,0.014918154761904761,0.052230426742896824,128
DMSO,DMSO_d3 -> DMSO_d21,3,0.7466424851190476,0.5035465569722837,128
DMSO,DMSO_d3 -> DMSO_d21,4,0.12545572916666667,0.06492952531550188,128
DMSO,DMSO_d3 -> DMSO_d21,5,0.0,0.002861075422646229,128
DMSO,DMSO_d3 -> DMSO_d42,0,0.40058479532163743,0.3888753885688755,57
DMSO,DMSO_d3 -> DMSO_d42,1,0.0,0.0030294923586278474,57
DMSO,DMSO_d3 -> DMSO_d42,2,0.017543859649122806,0.049406678644230415,57
DMSO,DMSO_d3 -> DMSO_d42,3,0.5116959064327485,0.49332539834434824,57
DMSO,DMSO_d3 -> DMSO_d42,4,0.07017543859649122,0.06253113279899115,57
DMSO,DMSO_d3 -> DMSO_d42,5,0.0,0.0028319092849268014,57
DMSO,DMSO_d3 -> DMSO_d6,0,0.2533277926930261,0.37201271512732914,182
DMSO,DMSO_d3 -> DMSO_d6,1,0.0,0.0032114658290843525,182
DMSO,DMSO_d3 -> DMSO_d6,2,0.023600002141407922,0.06150262689844397,182
DMSO,DMSO_d3 -> DMSO_d6,3,0.6401151054853687,0.48444054499531003,182
DMSO,DMSO_d3 -> DMSO_d6,4,0.08295709968019735,0.07584487059302496,182
DMSO,DMSO_d3 -> DMSO_d6,5,0.0,0.0029877765568073257,182
DMSO,DMSO_d3 -> DMSO_d69,0,0.13905962652958098,0.36761857365475076,176
DMSO,DMSO_d3 -> DMSO_d69,1,0.0,0.003134823084517842,176
DMSO,DMSO_d3 -> DMSO_d69,2,0.007954545454545454,0.05603403329462989,176
DMSO,DMSO_d3 -> DMSO_d69,3,0.7948852237414324,0.5007806804969768,176
DMSO,DMSO_d3 -> DMSO_d69,4,0.05810060427444108,0.06950987449528503,176
DMSO,DMSO_d3 -> DMSO_d69,5,0.0,0.002922014973839721,176
DMSO,DMSO_d3 -> DMSO_d98,0,0.3254203180120334,0.3752872909366765,152
DMSO,DMSO_d3 -> DMSO_d98,1,0.0,0.003183411598725875,152
DMSO,DMSO_d3 -> DMSO_d98,2,0.010307017543859648,0.059500584017213295,152
DMSO,DMSO_d3 -> DMSO_d98,3,0.5830138366808214,0.4848651847893472,152
DMSO,DMSO_d3 -> DMSO_d98,4,0.08125882776328552,0.07419955192977255,152
DMSO,DMSO_d3 -> DMSO_d98,5,0.0,0.0029639767282645143,152
DMSO,DMSO_d42 -> DMSO_d139,0,0.3596260001397845,0.3272687832911282,121
DMSO,DMSO_d42 -> DMSO_d139,1,0.0,0.003992419235752532,121
DMSO,DMSO_d42 -> DMSO_d139,2,0.17967307288526774,0.10989572127676818,121
DMSO,DMSO_d42 -> DMSO_d139,3,0.36809074569398764,0.42552453413465435,121
DMSO,DMSO_d42 -> DMSO_d139,4,0.09261018128096009,0.1296619340558548,121
DMSO,DMSO_d42 -> DMSO_d139,5,0.0,0.0036566080058420556,121
DMSO,DMSO_d42 -> DMSO_d69,0,0.13905962652958098,0.3412559529366385,176
DMSO,DMSO_d42 -> DMSO_d69,1,0.0,0.003999695642437385,176
DMSO,DMSO_d42 -> DMSO_d69,2,0.007954545454545454,0.10983598501138749,176
DMSO,DMSO_d42 -> DMSO_d69,3,0.7948852237414324,0.4107710632837673,176
DMSO,DMSO_d42 -> DMSO_d69,4,0.05810060427444108,0.13047447223279288,176
DMSO,DMSO_d42 -> DMSO_d69,5,0.0,0.0036628308929763944,176
DMSO,DMSO_d42 -> DMSO_d98,0,0.3254203180120334,0.3421802425587325,152
DMSO,DMSO_d42 -> DMSO_d98,1,0.0,0.003978306145305903,152
DMSO,DMSO_d42 -> DMSO_d98,2,0.010307017543859648,0.10877173948921334,152
DMSO,DMSO_d42 -> DMSO_d98,3,0.5830138366808214,0.41168984487287996,152
DMSO,DMSO_d42 -> DMSO_d98,4,0.08125882776328552,0.12973516513996267,152
DMSO,DMSO_d42 -> DMSO_d98,5,0.0,0.0036447017939056185,152
DMSO,DMSO_d6 -> DMSO_d139,0,0.3596260001397845,0.308349151684182,121
DMSO,DMSO_d6 -> DMSO_d139,1,0.0,0.0031113717074947394,121
DMSO,DMSO_d6 -> DMSO_d139,2,0.17967307288526774,0.056878825734389904,121
DMSO,DMSO_d6 -> DMSO_d139,3,0.36809074569398764,0.5521716127355478,121
DMSO,DMSO_d6 -> DMSO_d139,4,0.09261018128096009,0.07658525522528124,121
DMSO,DMSO_d6 -> DMSO_d139,5,0.0,0.002903782913104265,121
DMSO,DMSO_d6 -> DMSO_d21,0,0.11298363095238095,0.30360839704509607,128
DMSO,DMSO_d6 -> DMSO_d21,1,0.0,0.0030629353123787333,128
DMSO,DMSO_d6 -> DMSO_d21,2,0.014918154761904761,0.05415750377401125,128
DMSO,DMSO_d6 -> DMSO_d21,3,0.7466424851190476,0.56235954339916,128
DMSO,DMSO_d6 -> DMSO_d21,4,0.12545572916666667,0.07394914570510695,128
DMSO,DMSO_d6 -> DMSO_d21,5,0.0,0.0028624747642470106,128
DMSO,DMSO_d6 -> DMSO_d42,0,0.40058479532163743,0.3169617995157697,57
DMSO,DMSO_d6 -> DMSO_d42,1,0.0,0.003065296547169721,57
DMSO,DMSO_d6 -> DMSO_d42,2,0.017543859649122806,0.05711127621070383,57
DMSO,DMSO_d6 -> DMSO_d42,3,0.5116959064327485,0.5455789857398906,57
DMSO,DMSO_d6 -> DMSO_d42,4,0.07017543859649122,0.07441748061296179,57
DMSO,DMSO_d6 -> DMSO_d42,5,0.0,0.0028651613735044892,57
DMSO,DMSO_d6 -> DMSO_d69,0,0.13905962652958098,0.3098813129091687,176
DMSO,DMSO_d6 -> DMSO_d69,1,0.0,0.0031751450743515296,176
DMSO,DMSO_d6 -> DMSO_d69,2,0.007954545454545454,0.06105636546902697,176
DMSO,DMSO_d6 -> DMSO_d69,3,0.7948852237414324,0.5437646430776243,176
DMSO,DMSO_d6 -> DMSO_d69,4,0.05810060427444108,0.07916441430568628,176
DMSO,DMSO_d6 -> DMSO_d69,5,0.0,0.0029581191641421885,176
DMSO,DMSO_d6 -> DMSO_d98,0,0.3254203180120334,0.31000000216608115,152
DMSO,DMSO_d6 -> DMSO_d98,1,0.0,0.003204948638778764,152
DMSO,DMSO_d6 -> DMSO_d98,2,0.010307017543859648,0.06366268238398265,152
DMSO,DMSO_d6 -> DMSO_d98,3,0.5830138366808214,0.5379660182188458,152
DMSO,DMSO_d6 -> DMSO_d98,4,0.08125882776328552,0.08218238087794134,152
DMSO,DMSO_d6 -> DMSO_d98,5,0.0,0.0029839677143702003,152
DMSO,DMSO_d69 -> DMSO_d139,0,0.3596260001397845,0.24465445568494965,121
DMSO,DMSO_d69 -> DMSO_d139,1,0.0,0.0031673350175961297,121
DMSO,DMSO_d69 -> DMSO_d139,2,0.17967307288526774,0.0578225510499846,121
DMSO,DMSO_d69 -> DMSO_d139,3,0.36809074569398764,0.6176768808305544,121
DMSO,DMSO_d69 -> DMSO_d139,4,0.09261018128096009,0.073728969121916,121
DMSO,DMSO_d69 -> DMSO_d139,5,0.0,0.0029498082949991748,121
DMSO,DMSO_d69 -> DMSO_d98,0,0.3254203180120334,0.24739013758775952,152
DMSO,DMSO_d69 -> DMSO_d98,1,0.0,0.0032110486033953313,152
DMSO,DMSO_d69 -> DMSO_d98,2,0.010307017543859648,0.061131655638958116,152
DMSO,DMSO_d69 -> DMSO_d98,3,0.5830138366808214,0.6094407530239968,152
DMSO,DMSO_d69 -> DMSO_d98,4,0.08125882776328552,0.07583919520786803,152
DMSO,DMSO_d69 -> DMSO_d98,5,0.0,0.0029872099380223623,152
DMSO,DMSO_d98 -> DMSO_d139,0,0.3596260001397845,0.33556285911845923,121
DMSO,DMSO_d98 -> DMSO_d139,1,0.0,0.0032732134156268624,121
DMSO,DMSO_d98 -> DMSO_d139,2,0.17967307288526774,0.0661406064605203,121
DMSO,DMSO_d98 -> DMSO_d139,3,0.36809074569398764,0.5093030566024223,121
DMSO,DMSO_d98 -> DMSO_d139,4,0.09261018128096009,0.08267887514337909,121
