scenario,sample_size,method,heldout_coupling_mean,coefficient_cosine_mean,coefficient_sign_accuracy_mean,pure_column_minimum_curvature_mean,restart_direction_variance_mean,runtime_seconds
equivalent_fit_multiple_parameters,large,hard_ot,0.0168284034862088,-0.2544113688817968,0.2333333333333333,-4.4408920985006256e-10,0.2005703172976242,0.4868083999995178
equivalent_fit_multiple_parameters,large,soft_iot,0.0080968289621564,0.9996845073740523,0.6666666666666666,0.2206248156610968,1.2128743040078405e-13,4.515041600000586
equivalent_fit_multiple_parameters,medium,hard_ot,0.0398453456738215,-0.049706960938219,0.3,0.0,0.2003217431197611,0.4948262999992039
equivalent_fit_multiple_parameters,medium,soft_iot,0.0210871699295066,0.9983415145486229,0.6666666666666666,0.2156656246476984,5.09473565422014e-13,4.81458960000009
equivalent_fit_multiple_parameters,small,hard_ot,0.0938171833217669,0.5467054626072552,0.5333333333333333,0.0,0.1985994015549889,0.425452399999358
equivalent_fit_multiple_parameters,small,soft_iot,0.0347287409441338,0.9942211041839318,0.6333333333333333,0.2236622464124593,1.3034664885149938e-13,4.280328599999393
hard_marginal_flat_direction,large,hard_ot,0.0208109408729076,0.3071178505632653,0.6666666666666666,-3.552713678800501e-10,0.1046584651899108,0.6379715000007309
hard_marginal_flat_direction,large,soft_iot,0.0082830124267066,0.9998485454895674,1.0,0.2492449804769592,1.2086722878858425e-13,4.663720699999885
hard_marginal_flat_direction,medium,hard_ot,0.0385105475052465,0.1352156730409033,0.5666666666666667,-1.7763568394002502e-10,0.1059356716471734,0.6161357999999382
hard_marginal_flat_direction,medium,soft_iot,0.0188193685677971,0.9986086113286682,1.0,0.2479566398427835,1.5014670232175692e-13,4.424603300000854
hard_marginal_flat_direction,small,hard_ot,0.0958802397057362,0.5258786574405845,0.8,-2.6645352591003757e-10,0.1026487035585576,0.6376868000002105
hard_marginal_flat_direction,small,soft_iot,0.0413730091053204,0.9946341041826172,0.9666666666666666,0.2512992628211918,1.7071335060856494e-13,4.6493044000003465
identifiable_soft_marginal,large,hard_ot,0.0208109408729076,0.3071178505632653,0.6666666666666666,-3.552713678800501e-10,0.1046584651899108,0.6039067000001523
identifiable_soft_marginal,large,soft_iot,0.0082830124267066,0.9998485454895674,1.0,0.2492449804769592,1.2086722878858425e-13,4.610488400000577
identifiable_soft_marginal,medium,hard_ot,0.0385105475052465,0.1352156730409033,0.5666666666666667,-1.7763568394002502e-10,0.1059356716471734,0.5962313999993967
identifiable_soft_marginal,medium,soft_iot,0.0188193685677971,0.9986086113286682,1.0,0.2479566398427835,1.5014670232175692e-13,4.470789999999852
identifiable_soft_marginal,small,hard_ot,0.0958802397057362,0.5258786574405845,0.8,-2.6645352591003757e-10,0.1026487035585576,0.5889294999997219
identifiable_soft_marginal,small,soft_iot,0.0413730091053204,0.9946341041826172,0.9666666666666666,0.2512992628211918,1.7071335060856494e-13,4.209852700000283
nonlinear_or_hidden_confounding_misspecification,large,hard_ot,0.3430455130513091,0.4904016360787412,0.6333333333333334,-2.6645352591003757e-10,0.0837337251635067,0.8740621000001738
