index,dataset,method,coupling_relative_frobenius_mean,coupling_relative_frobenius_std,transition_weighted_l1_mean,transition_weighted_l1_std,fate_pearson_mean,fate_pearson_std,fate_spearman_mean,fate_spearman_std,fate_top1_accuracy_mean,fate_top1_accuracy_std,runtime_seconds_mean,runtime_seconds_std
0,gse140802_t2_t16,UOT-IOT,0.9874996653580814,0.0,0.0107461842228854,0.0,0.6855422778990484,9.614813431917819e-17,0.6123271951552456,0.0039360485109958,0.55,0.0,0.9376322199999776,0.0545140498850556
1,gse140802_t2_t16,cellrank2,,,,,0.67655602763955,,0.5966825914669532,,0.55,,19.560309099999813,
2,gse140802_t2_t16,lineageot,0.9933254747328308,,0.0639832164258948,,0.687769658266823,,0.6139979206853131,,0.55,,4.625729200000023,
3,gse140802_t2_t16,mioflow,0.9933280078799394,0.0002028088565684,0.1364397148956821,0.0104472954500559,0.6744131203077236,0.0049360344005155,0.6106790787588066,0.0048317872430471,0.55,0.0,11.803466300000036,0.3968116551875505
4,gse140802_t2_t16,moscot,0.9933254747328308,,0.0639832164258949,,0.6877696582668232,,0.6139979206853131,,0.55,,8.850090099999761,
5,gse140802_t2_t16,prescient,0.9893320815208156,0.000573020914506,0.0290768186248414,0.0064070370460143,0.6841196920465021,0.0066870242091573,0.6035342973343714,0.0066836464021427,0.55,0.0,4.772796640000161,0.0903563659195796
6,gse140802_t2_t16,tigon,0.9932713956345918,1.1997771857165266e-06,0.1097155054104128,0.0001060417827393,0.6820009469161484,3.090013164525152e-05,0.6087000461467799,0.0024150998300629,0.55,0.0,23.049524640000342,0.9959736754319972
7,gse140802_t2_t16,wot,0.993316708844632,,0.0634264230787114,,0.6877673287265326,,0.6139979206853131,,0.55,,3.3637782999999217,
8,gse140802_t2_t9,UOT-IOT,0.995808566288555,0.0,0.0150171352657198,0.0,0.5449431551874835,0.0,0.535734202110792,0.000851957390369,0.5526315789473685,0.0,1.3897639200001322,0.025735930380042
9,gse140802_t2_t9,cellrank2,,,,,0.4997407426093352,,0.4938260367213805,,0.5526315789473685,,16.78689940000004,
10,gse140802_t2_t9,lineageot,0.9985046076760864,,0.0819341957707369,,0.5474099056098471,,0.535114767297792,,0.5526315789473685,,3.2721207999998114,
11,gse140802_t2_t9,mioflow,0.9979217042748668,0.0002592334388744,0.1537318775811773,0.024400794641836,0.5195367880207139,0.0084569218003,0.5252167688315587,0.0118130806077298,0.4907894736842105,0.1382831512401185,13.557777720000011,0.5967547277967963
12,gse140802_t2_t9,moscot,0.9985046076760864,,0.0819341957707367,,0.5474099056098471,,0.535114767297792,,0.5526315789473685,,9.358690800000204,
13,gse140802_t2_t9,prescient,0.9970909453594644,0.0001282130155656,0.0255566053384182,0.0045767265692924,0.5442920465912023,0.0041693287251772,0.5324656505567875,0.0041721022951388,0.5526315789473685,0.0,6.1640372799998655,0.1467384624922449
14,gse140802_t2_t9,tigon,0.9982429287462246,1.035948594153946e-06,0.1524698574338702,0.0001150684641709,0.5244905736269637,7.692088282135213e-05,0.5317710881541056,0.0010114594703821,0.5526315789473685,0.0,42.324876499999846,0.3367360747973462
15,gse140802_t2_t9,wot,0.9985001033741996,,0.0827091086097539,,0.5474001244314879,,0.5319530890326584,,0.5526315789473685,,3.410049699999945,
16,gse239651_transition_panel,UOT-IOT,0.998190310883319,2.0377738760136675e-11,0.0951154839751081,1.2744270300054329e-07,0.4787361225673896,2.834231766535749e-08,0.5113433782207109,0.0005048265722533,0.3962703962703963,0.0,1.2034253199999512,0.0116243783743717
17,gse239651_transition_panel,cellrank2,,,,,0.2924215843399057,,0.357601455695145,,0.351981351981352,,18.17139989999987,
18,gse239651_transition_panel,lineageot,1.0026475896743297,,0.5289717795563629,,0.289347235711953,,0.3761995226259312,,0.282051282051282,,4.060406099999909,
19,gse239651_transition_panel,mioflow,0.9991050895572242,7.310001881571595e-05,0.1353675576066789,0.035150903644268,0.4389497756493119,0.0268856688921808,0.4935772472798122,0.0122909118207955,0.3076923076923076,0.0379459687554771,16.34243605999982,2.573814979736024
20,gse239651_transition_panel,moscot,1.0022205766976555,,0.5249415568089765,,0.291872157616353,,0.3878434498166115,,0.282051282051282,,10.35936730000003,
21,gse239651_transition_panel,prescient,0.9989942880986096,1.859164719908932e-05,0.2586316602048651,0.0018744978793983,0.4260557910316709,0.0019745433327251,0.5015309194775108,0.0020836712934235,0.2904428904428904,0.0072971915349643,12.144639200000166,0.1035778906949226
22,gse239651_transition_panel,tigon,0.999149678982008,9.947131235077531e-06,0.29884197392884,0.0016348251323386,0.4129906862026232,0.0011137116857606,0.5016317674250359,0.0001413715654467,0.2862470862470862,0.0062547356013979,88.04532946000018,2.7863543207965784
23,gse239651_transition_panel,wot,1.0054741329829409,,0.5622235992510631,,0.2829156431995213,,0.3896638948429298,,0.2727272727272727,,3.874419000000216,
24,macsgestalt_transition_panel,UOT-IOT,0.8021728498808643,1.0412525836171215e-09,0.3322085364899277,1.0753055323345099e-09,0.4037134012703672,5.718267359621588e-09,0.4090348190492688,0.0003533888379167,0.5476190476190477,0.0,0.3418184999998629,0.0159986880265991
25,macsgestalt_transition_panel,cellrank2,,,,,0.6633623991223192,,0.4724090604735482,,0.7380952380952381,,16.732700900000054,
26,macsgestalt_transition_panel,lineageot,0.9901266067096132,,0.7130570022441368,,0.6789880726002673,,0.5499124508501396,,0.7619047619047619,,3.2980133000000933,
27,macsgestalt_transition_panel,mioflow,1.0002597481860251,0.005073424223544,1.2850673016612402,0.0635151296294588,0.4259048171447755,0.0467040966733531,0.4127277893949824,0.0219539395205671,0.5047619047619047,0.042591770999996,11.649939079999967,0.403491312605892
28,macsgestalt_transition_panel,moscot,0.9839620929046672,,0.7191109716690901,,0.678623130018003,,0.565228977424694,,0.7619047619047619,,8.9895247999998,
29,macsgestalt_transition_panel,prescient,0.9263905583281102,0.0056051906875529,0.7161335456707668,0.0325024216335035,0.7443772981588539,0.0043777160070941,0.6119223343602698,0.0066742037093723,0.780952380952381,0.010647942749999,4.863708640000186,0.2171625097818721
30,macsgestalt_transition_panel,tigon,0.9399080108417556,0.0131667977193499,0.7902932676061096,0.0949799201236485,0.7393945391568394,0.0119709123141351,0.6145556641155824,0.0031098915969666,0.7857142857142857,0.0238095238095238,19.883561179999923,0.3631835437961868
31,macsgestalt_transition_panel,wot,0.9845342777272762,,0.6528142047500569,,0.6996693958746467,,0.5498813965385022,,0.7619047619047619,,3.2780704000001606,
