dataset,method,artifact,log,status,returncode,runtime_seconds,failure_reason,metrics
gse239651_transition_panel,wot,results/B2_lineage_transition/wot/gse239651_transition_panel.npz,results/B2_lineage_transition/logs/wot/gse239651_transition_panel.log,success,0,3.874419000000216,,results/B2_lineage_transition/wot/gse239651_transition_panel_metrics.json
gse239651_transition_panel,moscot,results/B2_lineage_transition/moscot/gse239651_transition_panel.npz,results/B2_lineage_transition/logs/moscot/gse239651_transition_panel.log,success,0,10.35936730000003,,results/B2_lineage_transition/moscot/gse239651_transition_panel_metrics.json
gse239651_transition_panel,lineageot,results/B2_lineage_transition/lineageot/gse239651_transition_panel.npz,results/B2_lineage_transition/logs/lineageot/gse239651_transition_panel.log,success,0,4.060406099999909,,results/B2_lineage_transition/lineageot/gse239651_transition_panel_metrics.json
gse239651_transition_panel,cellrank2,results/B2_lineage_transition/cellrank2/gse239651_transition_panel.npz,results/B2_lineage_transition/logs/cellrank2/gse239651_transition_panel.log,success,0,18.17139989999987,,results/B2_lineage_transition/cellrank2/gse239651_transition_panel_metrics.json
macsgestalt_transition_panel,wot,results/B2_lineage_transition/wot/macsgestalt_transition_panel.npz,results/B2_lineage_transition/logs/wot/macsgestalt_transition_panel.log,success,0,3.2780704000001606,,results/B2_lineage_transition/wot/macsgestalt_transition_panel_metrics.json
macsgestalt_transition_panel,moscot,results/B2_lineage_transition/moscot/macsgestalt_transition_panel.npz,results/B2_lineage_transition/logs/moscot/macsgestalt_transition_panel.log,success,0,8.9895247999998,,results/B2_lineage_transition/moscot/macsgestalt_transition_panel_metrics.json
macsgestalt_transition_panel,lineageot,results/B2_lineage_transition/lineageot/macsgestalt_transition_panel.npz,results/B2_lineage_transition/logs/lineageot/macsgestalt_transition_panel.log,success,0,3.2980133000000933,,results/B2_lineage_transition/lineageot/macsgestalt_transition_panel_metrics.json
macsgestalt_transition_panel,cellrank2,results/B2_lineage_transition/cellrank2/macsgestalt_transition_panel.npz,results/B2_lineage_transition/logs/cellrank2/macsgestalt_transition_panel.log,success,0,16.732700900000054,,results/B2_lineage_transition/cellrank2/macsgestalt_transition_panel_metrics.json
gse140802_t2_t16,wot,results/B2_lineage_transition/wot/gse140802_t2_t16.npz,results/B2_lineage_transition/logs/wot/gse140802_t2_t16.log,success,0,3.3637782999999217,,results/B2_lineage_transition/wot/gse140802_t2_t16_metrics.json
gse140802_t2_t16,moscot,results/B2_lineage_transition/moscot/gse140802_t2_t16.npz,results/B2_lineage_transition/logs/moscot/gse140802_t2_t16.log,success,0,8.850090099999761,,results/B2_lineage_transition/moscot/gse140802_t2_t16_metrics.json
gse140802_t2_t16,lineageot,results/B2_lineage_transition/lineageot/gse140802_t2_t16.npz,results/B2_lineage_transition/logs/lineageot/gse140802_t2_t16.log,success,0,4.625729200000023,,results/B2_lineage_transition/lineageot/gse140802_t2_t16_metrics.json
gse140802_t2_t16,cellrank2,results/B2_lineage_transition/cellrank2/gse140802_t2_t16.npz,results/B2_lineage_transition/logs/cellrank2/gse140802_t2_t16.log,success,0,19.560309099999813,,results/B2_lineage_transition/cellrank2/gse140802_t2_t16_metrics.json
gse140802_t2_t9,wot,results/B2_lineage_transition/wot/gse140802_t2_t9.npz,results/B2_lineage_transition/logs/wot/gse140802_t2_t9.log,success,0,3.410049699999945,,results/B2_lineage_transition/wot/gse140802_t2_t9_metrics.json
gse140802_t2_t9,moscot,results/B2_lineage_transition/moscot/gse140802_t2_t9.npz,results/B2_lineage_transition/logs/moscot/gse140802_t2_t9.log,success,0,9.358690800000204,,results/B2_lineage_transition/moscot/gse140802_t2_t9_metrics.json
gse140802_t2_t9,lineageot,results/B2_lineage_transition/lineageot/gse140802_t2_t9.npz,results/B2_lineage_transition/logs/lineageot/gse140802_t2_t9.log,success,0,3.2721207999998114,,results/B2_lineage_transition/lineageot/gse140802_t2_t9_metrics.json
gse140802_t2_t9,cellrank2,results/B2_lineage_transition/cellrank2/gse140802_t2_t9.npz,results/B2_lineage_transition/logs/cellrank2/gse140802_t2_t9.log,success,0,16.78689940000004,,results/B2_lineage_transition/cellrank2/gse140802_t2_t9_metrics.json
