dataset,method,seed,artifact,log,status,returncode,runtime_seconds,failure_reason,metrics
gse239651_transition_panel,mioflow,20260916,results/B2_lineage_transition/mioflow/gse239651_transition_panel_seed20260916.npz,results/B2_lineage_transition/logs/mioflow/gse239651_transition_panel_seed20260916.log,success,0,20.785635199999888,,results/B2_lineage_transition/mioflow/gse239651_transition_panel_seed20260916_metrics.json
gse239651_transition_panel,prescient,20260916,results/B2_lineage_transition/prescient/gse239651_transition_panel_seed20260916.npz,results/B2_lineage_transition/logs/prescient/gse239651_transition_panel_seed20260916.log,success,0,12.2056977000002,,results/B2_lineage_transition/prescient/gse239651_transition_panel_seed20260916_metrics.json
gse239651_transition_panel,tigon,20260916,results/B2_lineage_transition/tigon/gse239651_transition_panel_seed20260916.npz,results/B2_lineage_transition/logs/tigon/gse239651_transition_panel_seed20260916.log,success,0,83.49555340000006,,results/B2_lineage_transition/tigon/gse239651_transition_panel_seed20260916_metrics.json
gse239651_transition_panel,mioflow,20260917,results/B2_lineage_transition/mioflow/gse239651_transition_panel_seed20260917.npz,results/B2_lineage_transition/logs/mioflow/gse239651_transition_panel_seed20260917.log,success,0,15.186479299999974,,results/B2_lineage_transition/mioflow/gse239651_transition_panel_seed20260917_metrics.json
gse239651_transition_panel,prescient,20260917,results/B2_lineage_transition/prescient/gse239651_transition_panel_seed20260917.npz,results/B2_lineage_transition/logs/prescient/gse239651_transition_panel_seed20260917.log,success,0,12.208909500000118,,results/B2_lineage_transition/prescient/gse239651_transition_panel_seed20260917_metrics.json
gse239651_transition_panel,tigon,20260917,results/B2_lineage_transition/tigon/gse239651_transition_panel_seed20260917.npz,results/B2_lineage_transition/logs/tigon/gse239651_transition_panel_seed20260917.log,success,0,88.4980099999998,,results/B2_lineage_transition/tigon/gse239651_transition_panel_seed20260917_metrics.json
gse239651_transition_panel,mioflow,20260918,results/B2_lineage_transition/mioflow/gse239651_transition_panel_seed20260918.npz,results/B2_lineage_transition/logs/mioflow/gse239651_transition_panel_seed20260918.log,success,0,15.013544199999616,,results/B2_lineage_transition/mioflow/gse239651_transition_panel_seed20260918_metrics.json
gse239651_transition_panel,prescient,20260918,results/B2_lineage_transition/prescient/gse239651_transition_panel_seed20260918.npz,results/B2_lineage_transition/logs/prescient/gse239651_transition_panel_seed20260918.log,success,0,12.23315360000015,,results/B2_lineage_transition/prescient/gse239651_transition_panel_seed20260918_metrics.json
gse239651_transition_panel,tigon,20260918,results/B2_lineage_transition/tigon/gse239651_transition_panel_seed20260918.npz,results/B2_lineage_transition/logs/tigon/gse239651_transition_panel_seed20260918.log,success,0,89.59955020000007,,results/B2_lineage_transition/tigon/gse239651_transition_panel_seed20260918_metrics.json
gse239651_transition_panel,mioflow,20260919,results/B2_lineage_transition/mioflow/gse239651_transition_panel_seed20260919.npz,results/B2_lineage_transition/logs/mioflow/gse239651_transition_panel_seed20260919.log,success,0,16.295011199999863,,results/B2_lineage_transition/mioflow/gse239651_transition_panel_seed20260919_metrics.json
