dataset,method,time_days,seed,returncode,runtime_seconds,cross_entropy,sinkhorn_divergence,top1_accuracy,multiclass_brier,predicted_confidence,observed_probability_of_predicted_class
GSE140802,development-target-transfer,11.8,20260916.0,0.0,0.1689488500001971,1.677931720742481,0.3535727058277312,0.7,0.0338507307102767,0.3769814892283535,0.3498761127946614
GSE140802,mioflow,11.8,20260918.0,0.0,11.30498497400018,2.260308494149214,0.7851983919331224,0.1,0.2097637037999422,0.5163102814301271,0.1489335127935857
GSE140802,prescient,11.8,20260918.0,0.0,4.256398216000016,1.6665766596309768,0.3201716202889469,0.7,0.0261939994458984,0.3613839802379466,0.3498761127946614
GSE140802,source-carry-forward,11.8,20260916.0,0.0,0.2268992900002558,23.515836079059564,1.7021329744128284,0.1,0.954411269790628,1.0,0.1489335127935857
GSE140802,tigon,11.8,20260918.0,0.0,27.131193818,14.132116485232414,1.689283994762697,0.1,0.9411722337188856,0.9935755101749342,0.1489335127935857
GSE239651_expt2,development-target-transfer,44.0,20260916.0,0.0,0.1673408250004512,0.8595977570974604,0.0352700101339336,0.875,0.0198426121572823,0.6645354962232818,0.6918461692082133
GSE239651_expt2,mioflow,44.0,20260918.0,0.0,13.177468389999968,0.8816320254169113,0.0496637505121708,1.0,0.0298622475757389,0.6208189343222554,0.7009275741014902
GSE239651_expt2,prescient,44.0,20260918.0,0.0,17.81321613500004,0.925638470633396,0.0774510870097028,1.0,0.0639983571718161,0.5266428006596245,0.7009275741014902
GSE239651_expt2,source-carry-forward,44.0,20260916.0,0.0,0.2112069500000188,0.9674016362881876,0.0536362796616755,1.0,0.1272749850125179,0.4926808866583019,0.7009275741014902
GSE239651_expt2,tigon,44.0,20260918.0,0.0,115.6105727875,0.9690627141585262,0.0569523834597372,1.0,0.1261063140874712,0.4907471491927831,0.7009275741014902
