dataset_id,partition,method,stratum,n,prevalence,brier,nll,ece,calibration_slope,calibration_intercept,auprc,auroc,top10_enrichment,integrated_brier,joint_nll,state_n,state_cross_entropy,state_brier,state_total_variation,state_top1_agreement,abstention_rate,rank_integrated_brier,rank_joint_nll,rank_auprc,rank_ece,mean_primary_rank
GSE239651_expt1,development_outer_oof,PERSIST-IOT,all,38010.0,0.1280452512496711,0.050092494660085,0.1989333684138744,0.0177687340890148,0.9101706808865192,-0.2071346521291967,0.7806524464438694,0.9070143777596332,6.431066365317444,0.0498180156054049,0.1989333684138744,4867.0,1.0370164120742835,0.2851258100055829,0.3612926622644019,0.6443394288062462,0.9027624309392264,4.0,4.0,4.0,7.0,4.75
GSE239651_expt1,development_outer_oof,PERSIST-no-IOT,all,38010.0,0.1280452512496711,0.0518031299300292,0.2040419682125948,0.0213352073610276,0.9423687815139568,-0.0982639407804976,0.7586348081110471,0.9051313718406272,6.420793096363263,0.0515122141807722,0.2040419682125948,4867.0,4.850892829155457,0.5164761222815634,0.4725672984685831,0.4970207520032874,0.9027624309392264,6.0,6.0,6.0,9.0,6.75
GSE239651_expt1,development_outer_oof,prevalence_only,all,38010.0,0.1280452512496711,0.1117248302210763,0.3829987745389236,0.0044010429557191,-0.5726189237664118,-3.040467530809388,0.1260238903099208,0.4952872467435244,0.850626669406205,0.11182332669373,0.3829987745389236,0.0,,,,,0.0,10.0,10.0,10.0,1.0,7.75
GSE239651_expt1,development_outer_oof,source_count_logistic,all,38010.0,0.1280452512496711,0.0574400784568657,0.2210535060671063,0.0184687098393323,0.990582405441402,0.0074645214616272,0.7068921786543129,0.8578128122055673,6.295459215122252,0.0575575275571642,0.2210535060671063,0.0,,,,,0.0,9.0,8.0,9.0,8.0,8.5
GSE239651_expt1,development_outer_oof,count_horizon_logistic,all,38010.0,0.1280452512496711,0.0573731512837294,0.2206949368382608,0.0149182617330345,0.9922255949430564,0.0110156408062959,0.7216480188605606,0.8596889275362484,6.256420793096362,0.0574758340917255,0.2206949368382608,0.0,,,,,0.0,8.0,7.0,8.0,5.0,7.0
GSE239651_expt1,development_outer_oof,ridge_logistic,all,38010.0,0.1280452512496711,0.0512883883567956,0.1989637786050944,0.0166674537496294,0.9947835860527732,-0.0213690802532775,0.7741855590963281,0.9037465681661973,6.492705979042531,0.0510891254478383,0.1989637786050944,0.0,,,,,0.0,5.0,5.0,5.0,6.0,5.25
GSE239651_expt1,development_outer_oof,random_forest,all,38010.0,0.1280452512496711,0.0454119330840392,0.1726645229470633,0.0082668642926588,1.0030447785843284,-0.0712693193496951,0.809823426221381,0.9211379977410896,6.583110745839326,0.0452851671886739,0.1726645229470633,0.0,,,,,0.0,2.0,1.0,1.0,2.0,1.5
GSE239651_expt1,development_outer_oof,extra_trees,all,38010.0,0.1280452512496711,0.045277149520772,0.1733286009127237,0.0109643584559633,1.015556654839541,-0.0226036734161707,0.8089934572234698,0.9173825062165164,6.566673515512636,0.0451329396646223,0.1733286009127237,0.0,,,,,0.0,1.0,2.0,2.0,3.0,2.0
GSE239651_expt1,development_outer_oof,hist_gradient_boosting,all,38010.0,0.1280452512496711,0.0495362905600739,0.1873132810302449,0.0137949826969627,1.0180150880710472,-0.0336056665568591,0.7960314575419339,0.9100351211706084,6.472159441134169,0.0493399763489503,0.1873132810302449,0.0,,,,,0.0,3.0,3.0,3.0,4.0,3.25
GSE239651_expt1,development_outer_oof,knn_standardized,all,38010.0,0.1280452512496711,0.0567934868387862,0.2376568137569689,0.0287660782698782,0.9109595729863638,-0.1811822900064218,0.7333617627105176,0.8716915388801432,6.5728374768851445,0.0567422094225129,0.2376568137569689,0.0,,,,,0.0,7.0,9.0,7.0,10.0,8.25
GSE239651_expt2,locked_external_e1,PERSIST-IOT,all,109704.0,0.0662418872602639,0.0297555056253869,0.1153284924967649,0.0197735319435872,1.1441105773340705,-0.2036611487001081,0.7155979268605477,0.9445790387150514,8.627572720490315,0.0292931049249711,0.1153284924967649,7267.0,0.9859026620053872,0.3592909630817728,0.4036905221094105,0.6819870648135407,0.9339130751841318,1.0,1.0,4.0,1.0,1.75
GSE239651_expt2,locked_external_e1,PERSIST-no-IOT,all,109704.0,0.0662418872602639,0.030955685613357,0.1189921419368636,0.0228767139991183,1.1065295520894831,-0.3384005981459857,0.6975381196012347,0.9431148133956492,8.569780367338707,0.0303908403856772,0.1189921419368636,7267.0,4.583061073824733,0.597281963260918,0.5079503748658549,0.475024081464153,0.9339130751841318,2.0,2.0,5.0,2.0,2.75
GSE239651_expt2,locked_external_e1,prevalence_only,all,109704.0,0.0662418872602639,0.0655908898399934,0.263722094740087,0.0611309267681345,1.0825470342515835,-0.5625403302828785,0.0662418872602639,0.5,0.1830091183134309,0.0652768294330117,0.263722094740087,0.0,,,,,0.0,10.0,10.0,10.0,9.0,9.75
GSE239651_expt2,locked_external_e1,source_count_logistic,all,109704.0,0.0662418872602639,0.0387235034324548,0.1694237922187757,0.0329181499738467,0.8237835580169236,-0.947015601091612,0.5400028285987698,0.8360671818991758,6.304870527158951,0.0385033187628057,0.1694237922187757,0.0,,,,,0.0,8.0,9.0,9.0,4.0,7.5
GSE239651_expt2,locked_external_e1,count_horizon_logistic,all,109704.0,0.0662418872602639,0.0387634486525564,0.16914894808953,0.0331424767134713,0.826963953879569,-0.9385954286811592,0.5719102922623733,0.8336804242439196,6.189285820855732,0.0386157745862862,0.16914894808953,0.0,,,,,0.0,9.0,8.0,8.0,5.0,7.5
GSE239651_expt2,locked_external_e1,ridge_logistic,all,109704.0,0.0662418872602639,0.0313677188700594,0.1261221628625255,0.0257348124874403,0.9985295050481736,-0.6323407913158012,0.6914790962806158,0.9383797439850322,8.326226879056922,0.0310438253685435,0.1261221628625255,0.0,,,,,0.0,4.0,3.0,6.0,3.0,4.0
GSE239651_expt2,locked_external_e1,random_forest,all,109704.0,0.0662418872602639,0.0358267709895634,0.1440765478059243,0.0587068615978893,1.1282972809766838,-1.2437095656319523,0.7301244350614742,0.946204821579167,8.63032473730706,0.0353079041597402,0.1440765478059243,0.0,,,,,0.0,6.0,5.0,3.0,8.0,5.5
GSE239651_expt2,locked_external_e1,extra_trees,all,109704.0,0.0662418872602639,0.0388193940420562,0.1549895052396001,0.0707294077150005,1.2358410142544334,-1.339858041246,0.7304610873417396,0.9457311408762592,8.509235997370354,0.0381107310134493,0.1549895052396001,0.0,,,,,0.0,7.0,6.0,2.0,10.0,6.25
GSE239651_expt2,locked_external_e1,hist_gradient_boosting,all,109704.0,0.0662418872602639,0.0310343873785891,0.1271519497827299,0.0408355434245135,1.1360460642028931,-0.9031688342388174,0.7327494279065814,0.938567774855598,8.598676543914511,0.0307878619187969,0.1271519497827299,0.0,,,,,0.0,3.0,4.0,1.0,6.0,3.5
GSE239651_expt2,locked_external_e1,knn_standardized,all,109704.0,0.0662418872602639,0.0352461902703447,0.165595006851027,0.0461159975308171,0.8952831194961379,-0.8868781668161639,0.6694428812937568,0.9107701902946372,7.9340644826709985,0.034894318821179,0.165595006851027,0.0,,,,,0.0,5.0,7.0,7.0,7.0,6.5
