dataset_id,candidate,comparator,difference,ci_low,ci_high,replicates
GSE239651_expt1,PERSIST-IOT,PERSIST-no-IOT,-0.0017106352699441,-0.0031970121059338,-0.0002177531225193,10000.0
GSE239651_expt1,PERSIST-IOT,prevalence_only,-0.0616323355609913,-0.0734359787759187,-0.050408594180798,10000.0
GSE239651_expt1,PERSIST-IOT,source_count_logistic,-0.0073475837967806,-0.0108718339530517,-0.0036753298910394,10000.0
GSE239651_expt1,PERSIST-IOT,count_horizon_logistic,-0.0072806566236443,-0.0107918386937574,-0.0036060408591667,10000.0
GSE239651_expt1,PERSIST-IOT,ridge_logistic,-0.0011958936967106,-0.004255089604791,0.0019375347190861,10000.0
GSE239651_expt1,PERSIST-IOT,random_forest,0.0046805615760457,0.0024725656939592,0.007192002727434,10000.0
GSE239651_expt1,PERSIST-IOT,extra_trees,0.004815345139313,0.0026908434239634,0.0071931092434346,10000.0
GSE239651_expt1,PERSIST-IOT,hist_gradient_boosting,0.000556204100011,-0.0015422873272525,0.0027537925493215,10000.0
GSE239651_expt1,PERSIST-IOT,knn_standardized,-0.0067009921876442,-0.0097380102418447,-0.0037224925531135,10000.0
GSE239651_expt2,PERSIST-IOT,PERSIST-no-IOT,-0.00120017998797,-0.0016680693288125,-0.0007750405967499,10000.0
GSE239651_expt2,PERSIST-IOT,prevalence_only,-0.0358353842146065,-0.0407294131586683,-0.0312672086508721,10000.0
GSE239651_expt2,PERSIST-IOT,source_count_logistic,-0.0089679978070678,-0.0103003814448691,-0.0076477655860486,10000.0
GSE239651_expt2,PERSIST-IOT,count_horizon_logistic,-0.0090079430271695,-0.0103299979804623,-0.0076970848672018,10000.0
GSE239651_expt2,PERSIST-IOT,ridge_logistic,-0.0016122132446725,-0.002405554804705,-0.0008353083027542,10000.0
GSE239651_expt2,PERSIST-IOT,random_forest,-0.0060712653641765,-0.0071053192748044,-0.0050379494451753,10000.0
GSE239651_expt2,PERSIST-IOT,extra_trees,-0.0090638884166693,-0.0100139054610478,-0.0080776981656876,10000.0
GSE239651_expt2,PERSIST-IOT,hist_gradient_boosting,-0.0012788817532021,-0.0021882271048234,-0.0003812870161306,10000.0
GSE239651_expt2,PERSIST-IOT,knn_standardized,-0.0054906846449577,-0.006297927512979,-0.004656286712585,10000.0
