dataset,method,direction_type,seed_n,pairwise_cosine_mean,pairwise_cosine_min,pairwise_cosine_variance
gse140802_t2_t16,mioflow,output_change_proxy,5,0.9867831219113228,0.9620641010947786,0.0001312567081836
gse140802_t2_t16,prescient,output_change_proxy,5,0.9996784168693672,0.9992688034897268,4.6528386527618354e-08
gse140802_t2_t16,tigon,output_change_proxy,5,0.811179784426215,0.6751141051349906,0.010822910713117
gse140802_t2_t16,UOT-IOT,output_change_proxy,5,0.9999999999999948,0.9999999999999898,1.1756218768085357e-29
gse140802_t2_t9,mioflow,output_change_proxy,5,0.9785732579589712,0.9335445146305332,0.0004315078109701
gse140802_t2_t9,prescient,output_change_proxy,5,0.9992159151004486,0.99782839768188,4.1568343052165014e-07
gse140802_t2_t9,tigon,output_change_proxy,5,0.7347261184567122,0.5990222727199811,0.0161151300449865
gse140802_t2_t9,UOT-IOT,output_change_proxy,5,0.9999999999999944,0.9999999999999892,1.0205887961296839e-29
gse239651_transition_panel,mioflow,output_change_proxy,5,0.991472354292795,0.9797715455910626,2.6772836779552747e-05
gse239651_transition_panel,prescient,output_change_proxy,5,0.999718621763674,0.9994089979443004,2.2108592849093744e-08
gse239651_transition_panel,tigon,output_change_proxy,5,0.9848122044126048,0.9633524685369584,0.0001108688234851
gse239651_transition_panel,UOT-IOT,output_change_proxy,5,0.9999999999999828,0.9999999999999653,8.623646635251988e-29
macsgestalt_transition_panel,mioflow,output_change_proxy,5,0.999147362798084,0.9981557161886372,2.9937227770014384e-07
macsgestalt_transition_panel,prescient,output_change_proxy,5,0.9985857096462916,0.9962378084695191,1.6779070795147743e-06
macsgestalt_transition_panel,tigon,output_change_proxy,5,0.9906353475066324,0.9754842138450092,0.0001123355780941
macsgestalt_transition_panel,UOT-IOT,output_change_proxy,5,0.9999999999999524,0.9999999999998828,1.2563185126721335e-27
