experiment,dataset,method,setting,ordering,stability,secondary
E1,synthetic_chain,hard_ot,"dropout=0.0,n=400",0.9428571428571428,1.0,0.0826822031802647
E1,synthetic_chain,hard_ot,"dropout=0.0,n=2000",0.9428571428571428,1.0,0.0803688160447475
E1,synthetic_chain,hard_ot,"dropout=0.0,n=10000",0.9200000000000002,1.0,0.0788525980190652
E1,synthetic_chain,hard_ot,"dropout=0.15,n=2000",0.9200000000000002,1.0,0.0952309572172952
E1,synthetic_chain,soft_iot,"dropout=0.0,n=400",0.9428571428571428,1.0,0.0123828660609247
E1,synthetic_chain,soft_iot,"dropout=0.0,n=2000",0.9428571428571428,1.0,0.0117269341909234
E1,synthetic_chain,soft_iot,"dropout=0.0,n=10000",0.9200000000000002,1.0,0.011963590089511
E1,synthetic_chain,soft_iot,"dropout=0.15,n=2000",0.9314285714285716,1.0,0.0100637887867138
E2,gse228154,soft_iot,summary,0.3939393939393939,0.9892255892255892,0.918076849606482
E2,gse228154,hard_ot,summary,0.2121212121212121,0.9999999999999998,0.9142727960927634
E2,gse228154,frozen_uot_direction,summary,0.3333333333333332,,0.9169318981524928
E2,gse228154,dpt_style,baseline,,,
E2,gse228154,marginal_prevalence,baseline,0.406060606060606,,0.9439391556259356
E3,gse140802_t2_t16,lineageot,panel,0.6416889479197478,0.4518480570575319,0.955973346025702
E3,gse140802_t2_t16,mioflow,panel,0.7212507102743582,0.6973244527665658,0.9559733460257022
E3,gse140802_t2_t16,moscot,panel,0.9999999999999998,0.7637626158259734,0.955973346025702
E3,gse140802_t2_t16,prescient,panel,0.7744186220964134,0.4788562029475671,0.9559733460257022
E3,gse140802_t2_t16,tigon,panel,0.6707760254383531,0.7615902863436089,0.9559733460257022
E3,gse140802_t2_t16,uot_iot,panel,0.694776888193295,0.6563895864090901,0.9559733460257022
E3,gse140802_t2_t16,wot,panel,0.6831300510639731,0.7912565680749445,0.955973346025702
E3,gse140802_t2_t9,lineageot,panel,0.6831300510639731,1.0,0.9055357142857144
E3,gse140802_t2_t9,mioflow,panel,0.6705033857755629,0.3939351528189823,0.9055357142857144
E3,gse140802_t2_t9,moscot,panel,0.6831300510639731,0.8488746876271654,0.9055357142857144
E3,gse140802_t2_t9,prescient,panel,0.8015898100095388,0.5125298953651003,0.9055357142857144
E3,gse140802_t2_t9,tigon,panel,0.6768484528247585,0.6213032527597184,0.9055357142857144
E3,gse140802_t2_t9,uot_iot,panel,0.6890864494228836,0.5132919658532581,0.9055357142857144
E3,gse140802_t2_t9,wot,panel,0.6756639246921762,0.9999999999999998,0.9055357142857144
E3,gse239651_transition_panel,lineageot,panel,0.8857142857142858,0.9985347985347984,0.5600601529879617
E3,gse239651_transition_panel,mioflow,panel,0.52,0.9984548784548786,0.6404722027383388
E3,gse239651_transition_panel,moscot,panel,0.8857142857142858,0.9985347985347984,0.5600601529879617
E3,gse239651_transition_panel,prescient,panel,-0.0857142857142857,1.0,0.645444387902979
E3,gse239651_transition_panel,tigon,panel,0.0057142857142857,0.993926073926074,0.5346738499797011
E3,gse239651_transition_panel,uot_iot,panel,0.0857142857142857,1.0,0.6452841870839936
E3,gse239651_transition_panel,wot,panel,0.7714285714285715,0.9985347985347984,0.5406908806766231
E3,macsgestalt_transition_panel,lineageot,panel,,1.0,0.5135395520513618
E3,macsgestalt_transition_panel,mioflow,panel,,0.9885714285714288,0.6939220910060894
E3,macsgestalt_transition_panel,moscot,panel,,1.0,0.5135395520513618
E3,macsgestalt_transition_panel,prescient,panel,,0.983809523809524,0.5135395520513618
E3,macsgestalt_transition_panel,tigon,panel,,0.9895238095238096,0.5135395520513618
E3,macsgestalt_transition_panel,uot_iot,panel,,0.9952380952380953,0.5577400140616803
E3,macsgestalt_transition_panel,wot,panel,,1.0,0.5135395520513618
E5,gse228154,soft_iot,mu=0.05,0.2121212121212121,1.0,6.213280016709177
E5,gse228154,soft_iot,mu=0.1,0.2121212121212121,1.0,5.5933961675691535
E5,gse228154,soft_iot,mu=0.2,0.2484848484848484,1.0,4.587459898175439
E5,gse228154,soft_iot,mu=0.5,0.4303030303030302,0.991919191919192,44935.17281150616
E5,gse228154,soft_iot,mu=1.0,0.3939393939393939,0.991919191919192,179731.08655223768
E5,gse228154,soft_iot,mu=2.0,0.2606060606060606,1.0,0.7492299118894152
E5,gse228154,soft_iot,mu=5.0,-0.1999999999999999,0.802020202020202,1394292.9228935556
E5,synthetic_chain,soft_iot,mu=0.05,0.9428571428571428,1.0,3.9161082892036343
E5,synthetic_chain,soft_iot,mu=0.1,0.9428571428571428,1.0,3.57175865079995
E5,synthetic_chain,soft_iot,mu=0.2,0.9428571428571428,1.0,3.0065413771040994
E5,synthetic_chain,soft_iot,mu=0.5,0.9428571428571428,1.0,1.9318364486764492
E5,synthetic_chain,soft_iot,mu=1.0,0.9428571428571428,1.0,1.0913067285400757
E5,synthetic_chain,soft_iot,mu=2.0,0.9428571428571428,1.0,0.4872862412241829
E5,synthetic_chain,soft_iot,mu=5.0,0.2228571428571428,0.36,3952734.521122453
E6,synthetic_chain,soft_iot,random_root,0.2,,
E6,synthetic_chain,soft_iot,permuted_truth,0.2571428571428572,,
E6,gse228154,soft_iot,random_root,-0.1515151515151515,,
E6,gse228154,soft_iot,shuffled_target_labels,0.371313764553307,,
E6,gse140802_t2_t16,uot_iot,random_root,0.4504426164614508,,
E6,gse140802_t2_t16,uot_iot,shuffled_coupling,0.6614378277661476,,
